Emma Adams,https://www.fashionmodeldirectory.com/models/emma_adams/,Australian,NA,180.0,91.5,66.0,91.5,40,42,Red,Green
Jacki Adams,https://www.fashionmodeldirectory.com/models/jacki_adams/,American,NA,177.0,86.5,73.5,94.0,36-38,42,Brown,Green
Izzy Josephine Adams,https://www.fashionmodeldirectory.com/models/izzy+josephine_adams/,American,NA,180.0,91.5,84.0,110.0,40,40,Blonde,Blue / green
Julia Adasheva,https://www.fashionmodeldirectory.com/models/julia_adasheva/,Russian,April 25 1991,175.0,86.0,58.0,89.0,36,38,Brown,Hazel
Natane Adcock,https://www.fashionmodeldirectory.com/models/natane_adcock/,American,May 5 1975,175.0,86.5,58.5,86.5,34,39,Brown,Brown
Amal Tobi Adebayo,https://www.fashionmodeldirectory.com/models/amal+tobi_adebayo/,Nigerian,NA,180.0,82.0,61.0,86.0,34,40,Black,Brown
Karima Adebibe,https://www.fashionmodeldirectory.com/models/karima_adebibe/,British (English),February 14 1985,174.0,84.0,66.0,91.0,36,38.5,Brown,Green
Abuk Manyang Adeer,https://www.fashionmodeldirectory.com/models/abuk+manyang_adeer/,South Sudanese,NA,180.0,72.0,58.0,82.0,32-34,39,Black,Brown
Bunmi Ademokoya,https://www.fashionmodeldirectory.com/models/bunmi_ademokoya/,Nigerian,NA,178.0,84.0,58.5,86.5,34,40,Brown,Brown
Halima Aden,https://www.fashionmodeldirectory.com/models/halima_aden/,Somalian,NA,165.0,76.0,58.0,90.0,32,38.5,Black,Black
Awwal Adeoti,https://www.fashionmodeldirectory.com/models/awwal_adeoti/,Nigerian,NA,189.0,84.0,79.0,86.0,46,45,Black,Brown
Ooooota Sebastian Adepo,https://www.fashionmodeldirectory.com/models/ooooota+sebastian_adepo/,Nigerian,NA,177.0,76.0,59.5,84.0,34-36,39,Black,Brown
Annemary Aderibigbe,https://www.fashionmodeldirectory.com/models/annemary_aderibigbe/,Dutch,NA,179.0,80.0,61.0,89.0,35,39,Brown,Light brown
Betty Adewole,https://www.fashionmodeldirectory.com/models/betty_adewole/,British (English),"January 27, 1991",180.0,86.5,58.5,86.5,36,39,Black,Brown
Kelvin Adewole,https://www.fashionmodeldirectory.com/models/kelvin_adewole/,Nigerian,NA,187.0,88.0,75.0,87.0,44,45,Black,Brown
Adesola Adeyemi,https://www.fashionmodeldirectory.com/models/adesola_adeyemi/,Nigerian,NA,177.0,81.0,63.5,86.5,34,42,Brown,Brown
Louise Adkins,https://www.fashionmodeldirectory.com/models/louise_adkins/,British (English),July 25,178.0,81.5,58.0,89.0,34,39,Blonde,Blue
Isabelle Adler,https://www.fashionmodeldirectory.com/models/isabelle_adler/,Israeli,NA,175.0,86.0,60.0,90.0,34,39,Brown,Green
