Adesola Adeyemi,https://www.fashionmodeldirectory.com/models/adesola_adeyemi/,American,NA,177.0,81.0,63.5,86.5
Louise Adkins,https://www.fashionmodeldirectory.com/models/louise_adkins/,British (English),July 25,178.0,85.0,58.0,87.0
Isabelle Adler,https://www.fashionmodeldirectory.com/models/isabelle_adler/,Israeli,NA,175.0,86.0,60.0,90.0
Consuelo Adler,https://www.fashionmodeldirectory.com/models/consuelo_adler/,Venezuelan,NA,178.0,89.0,66.0,89.0
Signija Admidina,https://www.fashionmodeldirectory.com/models/signija_admidina/,Latvian,NA,178.0,79.0,61.0,91.5
Beatrice Adochitei,https://www.fashionmodeldirectory.com/models/beatrice_adochitei/,Romanian,NA,178.0,83.0,60.0,89.0
Luciane Adoryan,https://www.fashionmodeldirectory.com/models/luciane_adoryan/,Brazilian,NA,178.0,82.5,62.0,90.0
Alvar Af Schulten,https://www.fashionmodeldirectory.com/models/alvar_af+schulten/,Finnish,NA,189.0,83.0,66.0,87.0
Doriana Agacinska,https://www.fashionmodeldirectory.com/models/doriana_agacinska/,Polish,NA,178.0,80.0,60.0,89.0
Ksenia Agafonova,https://www.fashionmodeldirectory.com/models/ksenia_agafonova/,Russian,"June25, 1983",179.0,84.0,61.0,87.5
Rimma Agafoshina,https://www.fashionmodeldirectory.com/models/rimma_agafoshina/,Russian,1981,175.5,95.0,60.0,90.0
Vipasha Agarwal,https://www.fashionmodeldirectory.com/models/vipasha_agarwal/,Indian,"January 3, 1985",170.0,77.5,61.0,86.5
Ewa Agata,https://www.fashionmodeldirectory.com/models/ewa_agata/,Polish,January 13 1987,180.0,84.0,60.0,90.0
Panagiotis Agavanakis,https://www.fashionmodeldirectory.com/models/panagiotis_agavanakis/,Greek,NA,189.0,94.0,76.0,92.0
Alicia Agazzani,https://www.fashionmodeldirectory.com/models/alicia_agazzani/,Italian,October 1987,177.0,84.0,62.0,88.0
Alessia Agazzani,https://www.fashionmodeldirectory.com/models/alessia_agazzani/,Italian,October 1987,175.0,85.0,62.0,88.0
Nnenna Agba,https://www.fashionmodeldirectory.com/models/nnenna_agba/,American,1984,175.5,86.5,61.0,84.0
Noellie Agboton,https://www.fashionmodeldirectory.com/models/noellie_agboton/,Canadian,NA,177.0,86.0,64.0,91.0
Nina Agdal,https://www.fashionmodeldirectory.com/models/nina_agdal/,Danish,26 march 1992,176.0,82.0,60.0,90.0
Sarah Elise Agee,https://www.fashionmodeldirectory.com/models/sarah+elise_agee/,American,NA,177.0,83.0,60.0,86.0
Justina Ageitos,https://www.fashionmodeldirectory.com/models/justina_ageitos/,Argentinian,NA,178.0,80.0,59.0,87.0
Awisa Aghaza,https://www.fashionmodeldirectory.com/models/awisa_aghaza/,Iranian,NA,173.0,82.0,60.0,88.0
Violetta Agibalova,https://www.fashionmodeldirectory.com/models/violetta_agibalova/,Russian,1985,177.0,86.0,60.0,90.0
Jordan Agnew,https://www.fashionmodeldirectory.com/models/jordan_agnew/,New Zealander,NA,178.0,86.0,66.0,89.0
Mari Agory,https://www.fashionmodeldirectory.com/models/mari_agory/,Sudanese,NA,180.0,86.0,61.0,86.0
Anna Agoston,https://www.fashionmodeldirectory.com/models/anna_agoston/,Hungarian,NA,180.0,80.0,60.0,91.0
Alexandra Agoston-O&#039;Connor,https://www.fashionmodeldirectory.com/models/alexandra_agoston-o%27connor/,Australian,June 24 1987,180.0,82.5,61.5,85.0
Ida Agrahn,https://www.fashionmodeldirectory.com/models/ida_agrahn/,Swedish,"October 5, 1989",177.0,81.0,58.0,88.0
Sigrid Agren,https://www.fashionmodeldirectory.com/models/sigrid_agren/,French,"April 24, 1991",176.0,80.0,58.5,86.5
Suzannah Agrippa,https://www.fashionmodeldirectory.com/models/suzannah_agrippa/,British (English),NA,170.0,86.5,61.0,89.0
Vanessa Aguasvivas,https://www.fashionmodeldirectory.com/models/vanessa_aguasvivas/,Dominican,NA,178.0,76.2,63.5,88.9
Paloma Aguilar,https://www.fashionmodeldirectory.com/models/paloma_aguilar/,Mexican,1995,176.0,86.0,63.0,89.0
Kira Aguilar,https://www.fashionmodeldirectory.com/models/kira_aguilar/,American,1998,177.0,83.0,61.0,86.0
Marta Aguilar,https://www.fashionmodeldirectory.com/models/marta_aguilar/,Spanish,NA,173.0,82.0,61.0,86.0
Ryu Aguilar,https://www.fashionmodeldirectory.com/models/ryu_aguilar/,American,NA,185.0,91.4,71.1,81.3
Nuria Aguiló,https://www.fashionmodeldirectory.com/models/nuria_aguil%c3%b3/,Spanish,1988,172.0,83.0,58.0,88.0
Ximena Aguirre,https://www.fashionmodeldirectory.com/models/ximena_aguirre/,Mexican,NA,175.0,86.0,63.0,90.0
Maylin Aguirre,https://www.fashionmodeldirectory.com/models/maylin_aguirre/,Cuban,NA,176.0,80.0,58.0,88.0
Sif Agustsdottir,https://www.fashionmodeldirectory.com/models/sif_agustsdottir/,Icelandic,NA,173.0,84.0,65.0,92.0
Eman Agwet,https://www.fashionmodeldirectory.com/models/eman_agwet/,Ugandan,NA,178.0,81.0,61.0,89.0
Hye Ah Kim,https://www.fashionmodeldirectory.com/models/hye_ah+kim/,South Korean,NA,179.0,81.0,59.0,89.0
Linnea Ahlman,https://www.fashionmodeldirectory.com/models/linnea_ahlman/,Swedish,July 1,176.0,81.0,64.0,85.0
Andrea Ahlstrand,https://www.fashionmodeldirectory.com/models/andrea_ahlstrand/,Swedish,NA,174.0,86.0,60.0,89.0
Emma Åhlund,https://www.fashionmodeldirectory.com/models/emma_%c3%85hlund/,Swedish,1990,178.0,81.0,61.0,89.0
Alisa Ahmann,https://www.fashionmodeldirectory.com/models/alisa_ahmann/,German,1994,179.0,79.0,61.0,88.0
Amira Ahmed,https://www.fashionmodeldirectory.com/models/amira_ahmed/,Swedish,NA,172.5,81.0,58.5,86.5
Kadra Ahmed-Omar,https://www.fashionmodeldirectory.com/models/kadra_ahmed-omar/,Ethiopian,1975,175.0,84.0,58.5,89.0
Samantha Ahrens,https://www.fashionmodeldirectory.com/models/samantha_ahrens/,American,NA,175.0,86.0,61.0,86.0
Sophia Ahrens,https://www.fashionmodeldirectory.com/models/sophia_ahrens/,British (English),NA,180.0,86.0,66.0,89.0
Wemi Ahunamba,https://www.fashionmodeldirectory.com/models/wemi_ahunamba/,American,NA,178.0,84.0,64.0,89.0
Pamela Aich,https://www.fashionmodeldirectory.com/models/pamela_aich/,American,NA,179.0,84.0,61.0,89.0
